Word,Its more frequent meanings,Type
paruparu ,"dirt, mud",Formal
pata,butter,Formal
pātai,question; to ask a question,Formal
pātata,close (of distance),Formal
pātene,button,Formal
pātiki,flounder (fish),Formal
pātītī,grass,Formal
patu ,"to strike, beat, thrash",Formal
patu ,to kill,Formal
patua ,patu + passive suffix -a,Formal
pau,"to be consumed, used up completely, all gone",Formal
pāua,pāua (abalone),Formal
pea,"maybe, perhaps",Formal
pea,pear,Formal
pea,bear,Formal
pea,pair,Formal
pēhea,how?,Formal
peita,paint,Formal
peka,branch,Formal
pēkana,bacon,Formal
pekapeka,bat,Formal
peke,"to jump, to leap over",Formal
pēke,bag,Formal
pēnā,"like that, near listener",Formal
pene,pen,Formal
pēnei ,"like this, near speaker",Formal
pepa,paper,Formal
pēpi,baby,Formal
pērā,"like that, yonder",Formal
pere,bell,Formal
pēwhea ,how? (variant of pēhea),Formal
pī,bee,Formal
piki,to climb,Formal
piki,to increase,Formal
pikitia,"picture, film",Formal
pīpī,"chick, baby",Formal
pīrangi,"to want, desire",Formal
pirau,rotten,Formal
piri,"to stick to, to cling",Formal
pirihimana,police officer,Formal
piriti,bridge,Formal
piro,"stinking, putrid",Formal
pito,"end, extremity",Formal
pito,belly button,Formal
piupiu,"flax skirt worn as part of traditional costume, eg in kapa haka",Formal
pō,night,Formal
poaka,pig,Formal
pōhatu,stone,Formal
pōhēhē,"to think mistakenly, be mistaken",Formal
poi,"poi, small, soft ball on string",Formal
poka,"hole; to make a hole in, to pierce",Formal
pono,"true, faithful",Formal
poraka,frog,Formal
poraka,jersey,Formal
poro,"to cut off, to cut short",Formal
pōro,ball,Formal
porohita ,"circle, round (variant of porowhita)",Formal
porowhita,"circle, round (variant of porohita)",Formal
pōtae,hat,Formal
poti,cat,Formal
poti,boat,Formal
poto,short,Formal
pou,"pole, post",Formal
pouaka,box,Formal
pouaka whakaata,television,Formal
pounamu,greenstone,Formal
pōuri,"sad, dark",Formal
pū,letter (of the alphabet),Formal
pū,gun,Formal
pū ,to blow gently,Formal
puare,"open, opening",Formal
puehu,dust,Formal
puhi,to blow (wind),Formal
pūkaha,engine,Formal
pukapuka,book,Formal
pukapuka,lungs,Formal
puke,hill,Formal
pūkenga,"skilled, expert",Formal
puku,"stomach, belly",Formal
pūmau,"fixed, permanent",Formal
puna,"pool, spring",Formal
pūngāwerewere,spider,Formal
punua,young animal,Formal
puoro,"to sing, to rumble",Formal
pupū,to boil ,Formal
pupū,"to bubble up, arise from",Formal
pupuhi,to blow (of the wind),Formal
pupuhi,to shoot,Formal
pupuri,to hold onto,Formal
pūrākau,traditional story,Formal
purapura,seed,Formal
purei,to play / play,Formal
pūrere,"appliance, machine (electric)",Formal
pūrerehua,butterfly,Formal
puru ,"to block up, plug",Formal
puru,"to put, place somewhere",Formal
purua,puru + passive suffix -a,Formal
puta,"to appear, to come out",Formal
pūtaiao,science,Formal
pūtake,"reason, cause",Formal
pūtake,root,Formal
putanga,"opening, exit",Formal
pūtea,"budget, resources",Formal
putiputi,flower,Formal
putu,"to heap up; a heap, pile",Formal
rā,"Various uses, meanings, eg over there ",Formal
rā,sun,Formal
rā,day,Formal
rahi,large,Formal
rākau,tree; timber,Formal
raki,north,Formal
rama,"light, torch",Formal
rānei,or,Formal
rangatahi,youth,Formal
rangatira,"chief, leader, boss",Formal
rangi,"sky, day",Formal
rango,"fly, blowfly",Formal
rangona,to be heard (passive form of rongo),Formal
rapa,to look for ,Formal
rapu,to look for,Formal
rārangi,"line, row",Formal
raro,under,Formal
raru,"trouble; to be in difficulty, in trouble",Formal
raruraru,"trouble, be in difficulty, in trouble",Formal
rata,"friendly, at ease, calm",Formal
rātou,"they, them, three or more people",Formal
rau,hundred,Formal
rau,leaf,Formal
rau,to put into,Formal
rāua,"they, them, two people",Formal
rawa,"Various meanings, eg quite, very",Formal
rawe,"lovely, excellent",Formal
rāwhiti,east,Formal
rēhia,"pleasure, amusement",Formal
reira,there (previously mentioned),Formal
reka,sweet,Formal
rekareka,"pleasant, delighted",Formal
reo,"language, voice",Formal
rere,to fly,Formal
rere,to flow,Formal
rere,to sail,Formal
rere,to escape,Formal
rerekē ,"different, changed",Formal
rerenga,voyage,Formal
rerenga,"escape, running away",Formal
rererangi,airplane,Formal
reri,ready,Formal
reta,letter,Formal
reti ,"to skate, slide",Formal
retireti,"skates, skating",Formal
rima,five,Formal
ringa,"hand, arm",Formal
ringaringa,"hand, arm",Formal
rino,iron,Formal
rīpene,"ribbon, tape",Formal
riri,"anger, angry",Formal
riro,"be obtained, be carried away, gone away",Formal
rita,litre,Formal
rite,like,Formal
rīwai,potato,Formal
rō,"in (short form of roto, as in: ki rō whare)",Formal
roa,long,Formal
roanga,length of time,Formal
rohe,"district, area",Formal
roimata,tears,Formal
rongo,"to hear, perceive",Formal
rongoā,medicine,Formal
rongonui,famous,Formal
rōpū,group,Formal
rori,road,Formal
rorohiko,computer,Formal
roto,in,Formal
rua,two,Formal
rua,hole,Formal
ruku,to dive,Formal
rūma,room,Formal
runga,on,Formal
tā,"ā category possession, singular form, used with other pronouns to form possessive pronouns, as in: ā mātou tamariki",Formal
tā,"according to, as said by (as in: Hei tā Manu)",Formal
tā,"to draw, paint",Formal
tā,"to publish, print",Formal
tae,"to reach, arrive",Formal
taea,"to be able, to be achieved",Formal
taenga,arrival,Formal
taha,"side, edge, margin",Formal
taha,to pass by,Formal
tāhau,"your, ā category possession, singular (variant of tāu)",Formal
tahi ,"one, single",Formal
tāhuhu,ridgepole of a house,Formal
tāhuhu,"Ministry of Education, as in: Te Tāhuhu o te Mātauranga",Formal
tahuri,"to turn around, to turn over",Formal
tahuri,to capsize,Formal
tai,"the sea, as opposed to land",Formal
tai,tide,Formal
tāia,tā + passive suffix -ia,Formal
taiapa,fence,Formal
taihoa,wait,Formal
taitama,young man,Formal
taka,"to fall, to fall off, to drop",Formal
taka,to come around in a cycle ,Formal
tākaro,to play,Formal
take,"reason, cause, origin",Formal
take,subject of discussion,Formal
take,"root, stump",Formal
taki,"to recite, to recount",Formal
taki,"to lead, to bring along",Formal
takiwā,"district, region",Formal
takoto,to lie down,Formal
taku,"my, neutral, singular",Formal
tāku,"my, ā category possession, singular",Formal
tākuta,doctor,Formal
tama,"son, nephew, Term of address for a boy, son: tama",Formal
tamāhine,daughter,Formal
tamaiti,child,Formal
tamariki,children (plural form of tamaiti),Formal
tamatāne,boy,Formal
tame,male animal,Formal
tana,"his / her, neutral, singular",Formal
tāna,"his / her, ā category possession, singular",Formal
tāne,man,Formal
tangata,person,Formal
tāngata,people (plural of tangata),Formal
tangi,to cry,Formal
tangi,"to mourn, lament",Formal
tangi,"to make a sound, sound",Formal
tango,to take hold of,Formal
tangohia,tango + passive suffix -hia,Formal
taniwha,"monster, traditional guardian of bodies of water",Formal
tao,to cook,Formal
tāone,town,Formal
taonga,"prized possession, treasure",Formal
taonga,"property, possession",Formal
tapa,"edge, margin",Formal
tapa,to name,Formal
tapahi,"to cut up, chop",Formal
tapahia,tapahi + passive suffix -a,Formal
tāpiri,"to join something on, to add",Formal
tapu,"sacred, holy, under ritual restriction",Formal
taputapu,"utensil, tool",Formal
taputapu,appliance,Formal
taputapu,"gear, equipment",Formal
tapuwae,footprint,Formal
tāra,dollar,Formal
taraiwa,to drive; driver,Formal
taraka,truck,Formal
tarau,trousers,Formal
tari,study,Formal
tari,department,Formal
taringa,ear,Formal
taro,"presently, by and by, as in: taro ake",Formal
tata,near,Formal
tātahi,"seaside, beach",Formal
tātai,"to measure, to calculate",Formal
tātai,"to arrange, to set in order",Formal
tatari,to wait,Formal
tatau,door,Formal
tatau,to count,Formal
tātou,"we, us, inclusive, three or more people",Formal
tau,number,Formal
tau,"year, period of time",Formal
tau,"age, as in: e iwa aku tau",Formal
tau,"beloved, darling",Formal
tau ,"to land on, alight, come to rest",Formal
tau ,to settle down,Formal
tāu,"your, one person, ā category, singular",Formal
taua,"that, previously mentioned (singular)",Formal
tāua,"we, us, you and I, inclusive, dual",Formal
tauhou,"strange, unfamiliar; stranger",Formal
tauira,student,Formal
tauira,example,Formal
taumaha,"heavy, of weight",Formal
taumaha,"heavy, difficult of spirit or health",Formal
taumata,"peak, pinnacle",Formal
taumata,"grade, level of achievement",Formal
taunga,"landing place, resting place, anchorage",Formal
taunga,fishing ground,Formal
taunga,"to be accustomed to, familiar with",Formal
taupoki,"to cover, close with a lid; lid, cover",Formal
taura,"rope, cable",Formal
tautoko,to support,Formal
tawhiti,"distant, a distant place",Formal
tawhito,"old, former",Formal
te,"the, singular definite article",Formal
tēhea,"which, singular",Formal
teina,"younger sibling, same sex",Formal
teitei,"tall, high, lofty; height",Formal
tekau,ten,Formal
tēnā,"that, by the listener",Formal
tēnei,"this, by speaker",Formal
